Sr-O,2^2 A’,3^2 A’,4^2 A’,1^2 A’’,2^2 A’’
1.85,1.55671599541643,3.53258198560992,1.77187062624883,0.882207438287,2.709800622521
1.9,1.54425648205394,3.8450708104662,0.758550522620748,0.847581018239,2.815412224386
1.95,1.45579560212708,3.57458580905946,1.79834454599938,0.82978371175,2.880049940258
2,1.33635668785979,3.16687909235593,2.59928978483725,0.807094247792,2.925026984711
2.05,1.20434371797257,2.9726868130864,2.95787625784803,0.775361246721,2.951839381734
2.1,1.06869400903608,2.87589548294745,3.1812853637893,0.734772999752,2.96268391017
2.15,0.934845570325328,2.82592148290507,3.34908968805106,0.686537456976,2.959679847706
2.2,0.806512437890507,2.80477650238036,3.48832631620337,0.632122892849,2.944664894568
2.25,0.686632656161142,2.80690078164938,3.61162807635748,0.573015361489,2.919165131173
2.3,0.578167583913217,2.83217664578059,3.7272125607956,0.510630179983,2.884387692848
2.35,0.484913962959989,2.88282465767397,3.84258048226023,0.446283579025,2.841201688457
2.4,0.412132178596337,2.96127736012271,3.96668461789971,0.381178386931,2.790110825506
2.45,0.36591547081213,3.06805308688503,4.11170861422979,0.316360909993,2.731307107354
2.5,0.349597723066957,3.1994625718451,4.29358578141759,0.252555159229,2.665099046482
2.55,0.35950557199856,3.34633512151644,4.52714479303814,0.189777187915,2.59333686477
2.6,0.387608678669718,3.49720828066003,4.81146178682847,0.126920281651,2.52138711155
2.65,0.428368568320837,3.64637570112892,5.12003076797683,0.06217881409,2.456953226045
2.7,0.47903886545238,3.79668693535962,5.418322147174,0.005721985158,2.405232437057
2.75,0.536574415673308,3.95390106928179,5.68506618240005,0.077107631012,2.367404069063
2.8,0.597401780761023,4.12202618245282,5.91345451651234,0.15180418397,2.342800251338
2.85,0.658335665177703,4.3024297857371,6.10425216445264,0.229548183763,2.330634889642
2.9,0.716926165062623,4.4944130864045,6.2609789034327,0.310151443985,2.330530637314
2.95,0.771378026766026,4.69596379329944,6.38772047342707,0.393539345118,2.342514711262
3,0.820372859886776,4.90438324153304,6.48827014133536,0.479744747523,2.366884608337
3.05,0.862920016115635,5.11674520885618,6.56580202046827,0.568885956532,2.404064150562
3.1,0.898258993711912,5.33020630203874,6.62276372219424,0.661131826967,2.454473523225
3.15,0.925805343458184,5.54214261796565,6.66089193328955,0.756649978202,2.518395805797
3.2,0.945137443402023,5.75024208974795,6.68129797408699,0.855548057393,2.595859768238
3.25,0.956002155813273,5.9524691473272,6.68465891264947,0.957782002065,2.686494836132
3.3,0.95834138858872,6.14707615510977,6.67143266301056,1.063074237627,2.789422266684
3.35,0.952318129745966,6.33263287533602,6.64206844158895,1.170840759218,2.903185469988
3.4,0.938330524125143,6.50803926678806,6.59717953138103,1.280158197424,3.025754867701
3.45,0.917004089586182,6.67256945559963,6.53761353466153,1.389808446045,3.154657531487
3.5,0.882349716898488,6.45783683197318,6.6950424724783,1.45704916019,3.185854281794
3.55,0.851210120129377,6.61072859558333,6.60468161573778,1.559830595846,3.319646788645
3.6,0.815704616074561,6.75956275341867,6.4958350145828,1.659880795987,3.453581616314
3.65,0.776354960198255,6.90117334415297,6.3738811002459,1.756307624874,3.585805214454
3.7,0.733971033201031,7.03480422183646,6.24099793819572,1.84825024792,3.714708178632
3.75,0.689377645793172,7.16017442548029,6.09874632774158,1.935043141867,3.839087175983
3.8,0.64336938670459,7.27722374633366,5.94839694681904,2.016243690767,3.958155935466
3.85,0.596703934733051,7.38602690163571,5.79102939792812,2.091614700169,4.071494836597
3.9,0.550116030363296,7.48674560791665,5.62758380178042,2.161085969409,4.178975702455
3.95,0.504345689197471,7.57958895791686,5.45891085178196,2.224706719675,4.280682467415
4,0.46017718124803,7.66478117414312,5.28582116122996,2.282600886044,4.376842919472
4.05,0.41848604179417,7.74255395170853,5.10909496156738,2.334935668072,4.467776375738
4.1,0.380288132411934,7.8131303224364,4.92951519259128,2.381892509339,4.553853239863
4.15,0.346774661905552,7.87672048799981,4.74788278987311,2.423648163864,4.635467577536
4.2,0.319297037603863,7.93352976044732,4.56500698324306,2.46036473733,4.713018627411
4.25,0.299241897674628,7.9837627223889,4.38170341294838,2.492182330558,4.786898430565
4.3,0.287749569446287,8.02763202994981,4.19877933549071,2.519216643502,4.857484053534
4.35,0.285335773368935,8.06536610824455,4.01701683113652,2.541559047824,4.925132721195
4.4,0.291637046370907,8.09721303903876,3.83716133667525,2.559277407838,4.990179163487
4.45,0.30549281320993,8.12345488533353,3.65987225634337,2.572423657216,5.052932110921
4.5,0.325311375088497,8.14439218279376,3.48575593862264,2.581030790369,5.113675445216
4.55,0.349464884082424,8.16035260544187,3.31532426511616,2.58512109908,5.17266604107
4.6,0.376529819434046,8.1716837312764,3.14899666198515,2.584708996108,5.230133652469
4.65,0.405364656821486,8.1787475967586,2.98709885974258,2.579805605363,5.286280558642
4.7,0.435093444588379,8.1819143048425,2.82986414147654,2.570421839299,5.341281769107
4.75,0.465056794474999,8.18155528057157,2.6774371332138,2.556573312374,5.3952844781
4.8,0.494759871261846,8.17803709660072,2.52988443417809,2.53828271959,5.448408823379
4.85,0.52382999741235,8.17171645316631,2.38720076664503,2.515584224393,5.500748050035
4.9,0.551984526584799,8.16293530035585,2.24931697135286,2.488526508192,5.55236914117
4.95,0.579006858719044,8.15201780519334,2.11610994168265,2.4571752427,5.603313902526
5,0.604729997948224,8.13926784084051,1.98740821873375,2.421615988241,5.653600146186
5.05,0.629024457644672,8.12496846511383,1.86299586425451,2.38195743308,5.703222861306
5.1,0.651789181353746,8.10937877932696,1.74262949082413,2.338329587795,5.752158387749
5.15,0.672946764359091,8.09273914908822,1.62599580975023,2.290895756369,5.800359437708
5.2,0.692436988567143,8.07526593033304,1.51276145556759,2.239841168837,5.847766798091
5.25,0.710214440114154,8.05715550725513,1.4025328157488,2.185382268136,5.894306029552
5.3,0.726246470054509,8.03858585043044,1.29484029486602,2.127767367202,5.939890924813
5.35,0.740510986825897,8.0197157454101,1.18912468488057,2.067274897789,5.984427376783
5.4,0.752995597811635,8.00068649305473,1.0846962365703,2.004213897813,6.027816250443
5.45,0.763696590798775,7.98162137291071,0.980684932547743,1.938922043157,6.069956886711
5.5,0.772618628786389,7.96262379935552,0.875962243155371,1.871762188529,6.110751048996
5.55,0.779774149907037,7.94377225013283,0.769021183379153,1.803116087647,6.150107071172
5.6,0.785182881405756,7.92510870871495,0.657781657578607,1.733378401991,6.187943316118
5.65,0.788871541619163,7.90661293344501,0.539258065566927,1.662948200771,6.224191430098
5.7,0.79087279920877,7.88814524400721,0.409003269741339,1.592218888304,6.25880035661
5.75,0.791226116132625,7.86930637608705,0.260167991040146,1.521575759055,6.291734700098
5.8,0.789976784060746,7.84906969704645,0.0857775190153811,1.45138403424,6.322977463375
5.85,0.787174035479067,7.82469164839671,0.168336527352097,1.381982329952,6.352531825361
5.9,0.782873311351178,7.78792202417952,0.507804973144724,1.313681864094,6.38041532777
5.95,0.777133861709101,7.7084978181763,1.07701776154553,1.24675864602,6.40666228626
6,0.770019992400821,7.43926398841943,2.21916766255648,1.181455629272,6.43131951864
6.1,0.751937617198486,3.89250663166409,6.67317203920966,1.056488881287,6.476110279883
6.2,0.729203261672856,1.90771838504671,7.45057923093253,0.940001204978,6.515346051984
6.3,0.702433605712884,1.30504510943679,7.54731667192135,0.832689986639,6.549657561085
6.4,0.672273818247213,1.00765890819886,7.56348441898282,0.734815292401,6.579685262834
6.5,0.639382911337886,0.82115031541856,7.5591773236466,0.646294922458,6.606037737493
6.6,0.604415267888437,0.688361246366901,7.54774258557557,0.566797111479,6.629280297922
6.7,0.56801304879063,0.586635452529028,7.53352719828686,0.495822671563,6.649897458677
6.8,0.530785378015011,0.505072339562749,7.518287084427,0.432770950609,6.668310358453
6.9,0.493297762958235,0.437713491040195,7.50282111216854,0.376990935331,6.684873395437
7,0.456061623120898,0.380970035689457,7.48751911271024,0.327818697253,6.699881401996
7.1,0.419526142352497,0.332512468584167,7.47257737197898,0.284602680084,6.713577088233
7.2,0.384073141555602,0.2907317539662,7.45809410622696,0.246721507852,6.726159581611
7.3,0.350016120485435,0.254465711968825,7.44411662633643,0.213592585437,6.737791162689
7.4,0.317600086692569,0.222836705831183,7.4306640000417,0.184678849689,6.748603991573
7.5,0.287005588310745,0.195161473570629,7.41773994259436,0.159490056295,6.758706071285
7.6,0.258353306955896,0.170892658526324,7.4053393711008,0.13758268676,6.768185512181
7.7,0.231710754598565,0.149581386363027,7.39345220988225,0.118558206702,6.777114920439
7.8,0.207099254405157,0.130853191026872,7.38206510649896,0.10206048761,6.785553806918
7.9,0.184501056783008,0.11439049206482,7.3711629349098,0.087772833523,6.793551977603
8,0.163867141977719,0.0999207248704128,7.36072897506393,0.075414533739,6.801151015887
8.1,0.145123444275632,0.087207113578184,7.350745146381,0.064737549259,6.80838571111
8.2,0.128177653797572,0.0760427743229923,7.34119264647289,0.055523653403,6.815285528599
8.3,0.112924570321537,0.0662468444293867,7.33205434263099,0.047580634942,6.821876916493
8.4,0.0992509030532769,0.057658580544145,7.3233095045099,0.040740561658,6.82818134821
8.5,0.0870388366480521,0.0501359002601174,7.31493919819967,0.034856027413,6.834218324367
8.6,0.0761702531575228,0.0435534321689373,7.30692491310741,0.029798362181,6.840005027986
8.7,0.0665283286149009,0.0377994375201998,7.29924783334853,0.025455557679,6.845556717501
8.8,0.0580001744721426,0.0327748294798247,7.29188980854763,0.021729855119,6.850887089835
8.9,0.0504778150840647,0.028391710634718,7.28483298131108,0.018536344813,6.856008294541
9,0.0438597352619919,0.0245722257665547,7.27806219597886,0.015801372911,6.86093280898
10,0.0100053832905501,0.005522469976215,7.22291868491464,0.003097014042,6.901271969797
11,0.00206739462250723,0.00114353534652945,7.18366364621097,0.000578667451,6.929829830483
12,0.00039746179709915,0.000218900951818221,7.15438268896945,0.00010495978,6.950636665296
13,7.28544029627981E-05,3.93015274250495E-05,7.13195830912823,1.8784113E-05,6.966100391514
14,1.29234986460723E-05,6.68017359563904E-06,7.11447955076197,3.31862E-06,6.977808683756
15,2.10322604313588E-06,9.88630734817101E-07,7.10066223791265,5.71172E-07,6.986830245953